trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode,source,embedding,n_chunks_x,n_chunks_post_horizon_x,n_chunks_y,n_chunks_post_horizon_y
or-qwen3-8b__W4096__T0p3__programming__s1,programming,or-qwen3-8b,0.3,1,4096,48,44,0.0167,0.0365284,0.359976,0.429077,0.673252,0.0430526,0.964791,0.167325,1.56312,0,0.0135228,0.0496829,0.574468,2.7,5,3.07895,10,True,0.227273,0.954545,0.0875401,0,0.369705,1,0.105615,0.317604,0.453808,7.38915,0.42368,0.0740688,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__programming__s2,programming,or-qwen3-8b,0.3,2,4096,48,44,0.00458936,0.00874009,0.0935699,0.134581,0.558957,0.0231168,0.984965,0.0312406,2.25953,0,2.10734e-08,0.0348837,0.848485,3.5,5,5.2,8,True,0,1,0.0157676,0,0.426696,1,0.0176631,0.0593607,0.504419,7.79715,0.464885,-0.000697741,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__reactor-stable__s1,reactor-stable,or-qwen3-8b,0.3,1,4096,48,44,0.0199319,0.0353291,0.214194,0.256853,0.725399,0.0101698,0.998249,0.223301,2.89396,0,0.0107445,0.0496829,0.851064,3.63636,7,4.76,11,True,0,0.977273,0.0961465,0,0.98939,1,0.0427048,0.0614973,0.480564,7.64914,0.441148,-0.0130728,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__reactor-stable__s2,reactor-stable,or-qwen3-8b,0.3,2,4096,48,44,0.0144075,0.032661,0.236441,0.249938,0.072666,0.0567928,0.155007,0.0418682,5.8493,0,2.58096e-08,0.0295983,0.892857,3.57143,6,5.30769,7,True,0.0909091,1,0.0509942,0,0.983607,1,0.0861352,0.708723,0.463803,7.51287,0.440452,0.0108989,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__reactor-unstable__s1,reactor-unstable,or-qwen3-8b,0.3,1,4096,48,44,0.0130656,0.0168974,0.10125,0.10296,0.205693,0.0691759,0.497671,0.0440462,7.44795,0,1.49012e-08,0.0433404,0.902439,3.7,4,6,10,True,0.0227273,1,0.0273408,0,1,1,0.0286442,0.113855,0.485224,7.75388,0.444324,0.00173289,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__reactor-unstable__s2,reactor-unstable,or-qwen3-8b,0.3,2,4096,48,44,0.00221928,0.00588974,0.0850156,0.089408,0.472032,0.0154076,0.990581,0.0140311,1.82873,0,0,0,0,0,0,0,0,True,0,1,0.00708615,0,1,1,0.0344814,0.0750988,0.475039,7.70588,0.437776,0.00488125,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__recipe__s1,recipe,or-qwen3-8b,0.3,1,4096,48,44,0.0440412,0.0222228,0.270383,0.282746,0.157357,0.0843278,0.280663,0.137042,1.25771,0,0.17082,0.0496829,0.765957,3.27273,6,0,11,True,0.954545,1,0.0628671,0,1,1,0.238795,0.477922,0.438452,7.44112,0.405003,0.034619,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__recipe__s2,recipe,or-qwen3-8b,0.3,2,4096,48,44,0.0257641,0.0516008,0.278238,0.310512,0.434845,0.0247545,0.971892,0.152498,2.89244,0,0,0,0,0,0,0,0,True,0.113636,0.954545,0.114886,0,0.918605,1,0.0689176,0.830645,0.493454,7.49973,0.468711,0.0290702,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__war__s1,war,or-qwen3-8b,0.3,1,4096,48,44,0.0672626,0.0495277,0.438066,0.816172,0.435763,0.0379969,0.936458,0.393899,5.02761,0,0.276136,0.0486258,0.652174,2.72727,8,3.33333,11,True,0.909091,1,0.177867,0,0.0680161,1,0.306325,0.789817,0.32488,7.16884,0.342353,0.022528,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__war__s2,war,or-qwen3-8b,0.3,2,4096,48,44,0.0399565,0.0498102,0.221944,0.638713,0.521386,0.0188636,0.988453,0.283815,1.79844,0,0.170805,0.0496829,0.574468,2.7,4,3.0303,10,True,0.5,0.977273,0.150589,0,0.0143027,1,0.251217,0.727666,0.38306,7.15238,0.362641,-0.0627977,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__waterloo-lost__s1,waterloo-lost,or-qwen3-8b,0.3,1,4096,48,44,0.0144004,0.00352033,0.0839656,0.0774892,-0.0801962,0.123348,0.0452239,0.033653,1.52395,0,0.104314,0.0496829,0.638298,3,10,0,10,True,1,1,0.00227273,0,1,1,0.851828,0.853333,0.116466,6.02223,0.0966677,-4.95025e-05,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__waterloo-lost__s2,waterloo-lost,or-qwen3-8b,0.3,2,4096,48,44,0.0193022,0.0168643,0.0839557,0.0971205,0.261527,0.0920865,0.474731,0.052785,10.7664,0,2.58096e-08,0.0295983,0.857143,2.66667,4,4,9,True,1,1,0.0158044,0,1,1,0.244586,0.357333,0.36414,7.29022,0.356773,-0.00177812,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__waterloo-won__s1,waterloo-won,or-qwen3-8b,0.3,1,4096,48,44,0.00226518,0.00540854,0.138029,0.13892,0.537004,0.0258467,0.979744,0.0174437,5.641,0,0,0,0,0,0,0,0,True,0.0227273,1,0.0081099,0,1,1,0.0582076,0.107438,0.425321,7.2915,0.421482,-0.00617908,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__waterloo-won__s2,waterloo-won,or-qwen3-8b,0.3,2,4096,48,44,0.0444121,0.0511724,0.398246,0.877338,0.698754,0.0209926,0.99201,0.496509,1.38822,0,0.22814,0.0496829,0.617021,2.63636,5,3.35294,11,True,0.568182,0.977273,0.127753,0,0.0206186,1,0.359517,0.865915,0.330724,7.10026,0.312544,-0.11658,1,3,s5.1,qwen3-embed-8b,,,,
