trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-muse-glimmer-30b__W4096__T0p3__physics__s2,physics,or-muse-glimmer-30b,0.3,2,4096,48,44,0.0327896,0.0103003,0.135202,0.115697,-0.108461,0.123904,0.0790724,0.0498118,1.86816,0,0.147525,0.0496829,0.574468,2.7,6,0,10,True,48,44,1,1,0.00961788,0,1,1,0.387815,0.39337,0.263775,6.6869,0.269617,-3.85709e-06,1,3
or-muse-glimmer-30b__W4096__T0p3__surreal__s1,surreal,or-muse-glimmer-30b,0.3,1,4096,1,0,,,-4.44089e-16,-4.44089e-16,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0492721,0.0492721,0.421229,7.26371,0.430928,0,0,0
or-muse-glimmer-30b__W4096__T0p3__surreal__s2,surreal,or-muse-glimmer-30b,0.3,2,4096,1,0,,,0,0,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0664376,0.0664376,0.323429,6.81003,0.398973,0,0,0
or-muse-glimmer-30b__W4096__T1__physics__s1,physics,or-muse-glimmer-30b,1,1,4096,11,11,0.175291,0.0934183,0.161851,0.24301,-0.0210825,0.00247074,0.986452,0.342756,1.71033,0,0.449765,0.0545455,0,0,0,0,0,False,11,7,0.142857,0.142857,0.88441,0.45,0.00280308,0.015691,0.0520254,0.139535,0.393828,7.1296,0.443857,-0.438196,0,0
or-muse-glimmer-30b__W4096__T1__physics__s2,physics,or-muse-glimmer-30b,1,2,4096,6,6,0.140984,0.0406393,0.166955,0.217128,0.43142,0.00992882,0.999471,0.454449,1,0,,,,,,,,True,6,2,1,0,0.972458,0.959807,,,0.10642,0.118943,0.366132,6.91055,0.412951,0,0,1
or-muse-glimmer-30b__W4096__T1__surreal__s1,surreal,or-muse-glimmer-30b,1,1,4096,1,0,,,-4.44089e-16,-4.44089e-16,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0220418,0.0220418,0.415509,7.29314,0.455645,0,0,0
or-muse-glimmer-30b__W4096__T1__surreal__s2,surreal,or-muse-glimmer-30b,1,2,4096,1,0,,,-2.22045e-16,-2.22045e-16,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.031106,0.031106,0.381609,7.18254,0.44549,0,0,0
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,22,18,0.0640311,0.0571312,0.138205,0.219026,0.271744,0.173926,0.552239,0.213316,1.64703,0,0.0350894,0.0457516,0.714286,2.5,3,2.6,2,True,22,18,0.222222,0.888889,0.199543,0,0.626632,1,0.0638396,0.200622,0.468725,7.48221,0.440718,-0.0681825,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,20,16,0.0443474,0.0252064,0.278905,0.439827,0.323107,0.0723586,0.90997,0.145433,1,0,0.209444,0.05,0.333333,2,2,2.6,1,True,20,16,1,1,0.232618,0,0.447337,0.907376,0.3487,0.651842,0.315244,6.97035,0.302656,-0.0443151,1,3
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,4,4,0.035705,0.0275984,0.0685931,0.103581,0.982122,0.0249139,0.999357,0.207163,1,0,,,,,,,,False,4,4,0.25,0.5,0.610924,0,,,0.0665096,0.10093,0.41489,7.24607,0.433761,-0.0169277,0,0
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,11,11,0.0429837,0.0274463,0.0917005,0.182702,0.356053,0.0574593,0.974618,0.125393,2.01755,0,0.104197,0.0545455,0.666667,2,2,3,1,True,11,7,0.142857,1,0.340886,0.0310559,0.0997766,0.939759,0.0642417,0.206771,0.42278,7.31022,0.424369,-0.030672,1,2
or-qwen3-8b__W4096__T1__physics__s1,physics,or-qwen3-8b,1,1,4096,23,19,0.0610936,0.0583873,0.315218,0.349238,0.146439,0.0500366,0.812105,0.155528,1.97782,0,0.131983,0.0526316,0.777778,3.5,5,3.25,2,True,23,19,0.105263,0.736842,0.408513,0.00168919,0.22176,0.994854,0.0450103,0.163511,0.534458,7.71908,0.466602,0.0449063,1,2
or-qwen3-8b__W4096__T1__physics__s2,physics,or-qwen3-8b,1,2,4096,8,8,0.0614945,0.0234136,0.0883248,0.115584,0.146194,0.0970251,0.694222,0.148332,2.23518,0,0.275011,0.0357143,0,0,0,2,0,True,8,4,0.75,1,0.642938,0.488189,0.0979261,0.231325,0.171865,0.220137,0.406712,7.29434,0.380948,-0.373992,1,3
or-qwen3-8b__W4096__T1__surreal__s1,surreal,or-qwen3-8b,1,1,4096,48,44,0.0833436,0.0514674,0.409457,0.506999,0.291427,0.0457798,0.819521,0.311504,8.13703,0,0.280138,0.0496829,0.531915,2.77778,6,3.23077,9,True,48,44,0.659091,0.772727,0.675025,0.228464,0.0477038,0.422943,0.14733,0.358108,0.323531,6.96894,0.385549,-0.0703214,1,3
or-qwen3-8b__W4096__T1__surreal__s2,surreal,or-qwen3-8b,1,2,4096,48,44,0.0705509,0.0327602,0.407825,0.503473,0.372987,0.0388487,0.911731,0.32092,7.87225,0,0.309364,0.0496829,0.553191,2.16667,3,3.03333,12,True,48,44,0.772727,0.727273,0.683042,0,0.0640241,1,0.20458,0.546717,0.31095,6.93851,0.362077,-0.0685262,1,3
