trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-muse-glimmer-30b__W4096__T0p3__physics__s2,physics,or-muse-glimmer-30b,0.3,2,4096,48,44,0.0901292,0.0152047,0.249146,0.224558,-0.10683,0.124237,0.0765136,0.127618,1.20394,0,0.253117,0.0496829,0.808511,3.8,9,0,10,True,48,44,1,1,0.00961788,0,1,1,0.387815,0.39337,0.263775,6.6869,0.269617,-3.85709e-06,1,3
or-muse-glimmer-30b__W4096__T0p3__surreal__s1,surreal,or-muse-glimmer-30b,0.3,1,4096,1,0,,,0,0,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0492721,0.0492721,0.421229,7.26371,0.430928,0,0,0
or-muse-glimmer-30b__W4096__T0p3__surreal__s2,surreal,or-muse-glimmer-30b,0.3,2,4096,1,0,,,-2.22045e-16,-2.22045e-16,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0664376,0.0664376,0.323429,6.81003,0.398973,0,0,0
or-muse-glimmer-30b__W4096__T1__physics__s1,physics,or-muse-glimmer-30b,1,1,4096,11,11,0.19917,0.0611189,0.171771,0.215975,0.0309125,0.0213531,0.676979,0.414201,2.11746,0,0.541179,0.0545455,0,0,0,2,0,False,11,7,0.142857,0.142857,0.88441,0.45,0.00280308,0.015691,0.0520254,0.139535,0.393828,7.1296,0.443857,-0.438196,0,0
or-muse-glimmer-30b__W4096__T1__physics__s2,physics,or-muse-glimmer-30b,1,2,4096,6,6,0.194722,0.0297153,0.20453,0.263213,0.31998,0.0361614,0.987389,0.560249,1.9037,0,,,,,,,,True,6,2,1,0,0.972458,0.959807,,,0.10642,0.118943,0.366132,6.91055,0.412951,0,0,1
or-muse-glimmer-30b__W4096__T1__surreal__s1,surreal,or-muse-glimmer-30b,1,1,4096,1,0,,,0,0,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0220418,0.0220418,0.415509,7.29314,0.455645,0,0,0
or-muse-glimmer-30b__W4096__T1__surreal__s2,surreal,or-muse-glimmer-30b,1,2,4096,1,0,,,-2.22045e-16,-2.22045e-16,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.031106,0.031106,0.381609,7.18254,0.44549,0,0,0
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,22,18,0.100608,0.0866007,0.139876,0.199859,0.155076,0.224178,0.194694,0.296022,1.50739,0,0.0267034,0.0457516,0.714286,2.5,3,2.6,2,True,22,18,0.222222,0.888889,0.199543,0,0.626632,1,0.0638396,0.200622,0.468725,7.48221,0.440718,-0.0681825,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,20,16,0.073853,0.0361074,0.227792,0.301707,0.218038,0.0293933,0.96539,0.195826,1,0,0.288457,0.05,0,0,0,2,0,True,20,16,1,1,0.232618,0,0.447337,0.907376,0.3487,0.651842,0.315244,6.97035,0.302656,-0.0443151,1,3
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,4,4,0.0635079,0.0484229,0.0831069,0.10749,0.488681,0.01907,0.998479,0.214979,1,0,,,,,,,,False,4,4,0.25,0.5,0.610924,0,,,0.0665096,0.10093,0.41489,7.24607,0.433761,-0.0169277,0,0
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,11,11,0.068517,0.0518966,0.131916,0.169435,0.256925,0.0600149,0.948259,0.184339,2.84322,0,0.138371,0.0545455,0.666667,2,2,3,1,True,11,7,0.142857,1,0.340886,0.0310559,0.0997766,0.939759,0.0642417,0.206771,0.42278,7.31022,0.424369,-0.030672,1,2
or-qwen3-8b__W4096__T1__physics__s1,physics,or-qwen3-8b,1,1,4096,23,19,0.0721564,0.0591714,0.179704,0.180991,0.223298,0.0292154,0.96719,0.198806,2.06379,0,0.181283,0.0526316,0.444444,2,2,2.18182,2,True,23,19,0.105263,0.736842,0.408513,0.00168919,0.22176,0.994854,0.0450103,0.163511,0.534458,7.71908,0.466602,0.0449063,1,2
or-qwen3-8b__W4096__T1__physics__s2,physics,or-qwen3-8b,1,2,4096,8,8,0.107239,0.022357,0.0972712,0.0954853,0.0988282,0.106757,0.461492,0.246216,1,0,0.398004,0.0357143,0,0,0,2,0,True,8,4,0.75,1,0.642938,0.488189,0.0979261,0.231325,0.171865,0.220137,0.406712,7.29434,0.380948,-0.373992,1,3
or-qwen3-8b__W4096__T1__surreal__s1,surreal,or-qwen3-8b,1,1,4096,48,44,0.090311,0.0393535,0.328925,0.354596,0.149657,0.0309748,0.723435,0.253064,11.8993,0,0.338417,0.0496829,0.425532,2.5,5,3.12,8,True,48,44,0.659091,0.772727,0.675025,0.228464,0.0477038,0.422943,0.14733,0.358108,0.323531,6.96894,0.385549,-0.0703214,1,3
or-qwen3-8b__W4096__T1__surreal__s2,surreal,or-qwen3-8b,1,2,4096,48,44,0.0709781,0.0399398,0.307201,0.363016,0.215661,0.0221716,0.913805,0.229844,9.80247,0,0.299927,0.0496829,0.808511,2.92308,4,3.44444,13,True,48,44,0.772727,0.727273,0.683042,0,0.0640241,1,0.20458,0.546717,0.31095,6.93851,0.362077,-0.0685262,1,3
