trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__noise__s3,noise,or-qwen3-8b,0.3,3,4096,128,124,0.00315664,0.0155548,0.15366,0.155738,0.224651,0.0113014,0.93209,0.0147172,4.8095,0,0,0,0,0,0,0,True,128,124,0,1,0.0139453,0,1,1,0.0256776,0.0391304,0.493499,7.42542,0.488241,-0.000459425,1,2
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,128,124,0.00471647,0.025218,0.207278,0.209835,0.193558,0.0107242,0.9188,0.0209653,3.87327,0,0,0,0,0,0,0,True,128,124,0,0.991935,0.0301443,0,1,1,0.0296612,0.0701493,0.511403,7.62569,0.449188,0.00212281,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,128,124,0.000884334,0.00339205,0.109449,0.109442,0.210792,0.0191499,0.808014,0.00303169,7.22995,0,0,0,0,0,0,0,True,128,124,0,1,0.0014351,0,1,1,0.0665507,0.0790323,0.429371,7.43385,0.420414,-3.19908e-06,1,2
or-qwen3-8b__W4096__T0p3__physics__s3,physics,or-qwen3-8b,0.3,3,4096,128,124,0.0187641,0.0320922,0.408039,0.442643,0.442096,0.00575338,0.995148,0.173082,6.45949,0.115452,0.0499607,0.761155,3.15217,12,4.02062,92,True,128,124,0.00806452,0.991935,0.0781302,0,0.792096,1,0.0410733,0.090106,0.515072,7.4457,0.430609,-0.00352019,1,2
or-qwen3-8b__W4096__T0p3__programming__s1,programming,or-qwen3-8b,0.3,1,4096,128,124,0.00163361,0.00502782,0.0645797,0.067011,0.367466,0.00738255,0.988514,0.0123074,4.94729,0,0,0,0,0,0,0,True,128,124,0.016129,1,0.00695539,0,1,1,0.0553524,0.10068,0.468446,7.74822,0.452716,0.000172311,1,2
or-qwen3-8b__W4096__T0p3__programming__s2,programming,or-qwen3-8b,0.3,2,4096,128,124,0.00200131,0.00640233,0.141442,0.148692,0.512923,0.0150501,0.975814,0.0248453,10.431,0,0,0,0,0,0,0,True,128,124,0,1,0.0145679,0,1,1,0.059894,0.0729167,0.456907,7.58576,0.441285,-0.00256712,1,2
or-qwen3-8b__W4096__T0p3__programming__s3,programming,or-qwen3-8b,0.3,3,4096,128,124,0.0294094,0.0235687,0.362005,0.361855,0.641298,0.0195109,0.974044,0.434144,3.89518,0.218063,0.0499607,0.685039,4.07812,15,4.79861,64,True,128,124,0.491935,0.991935,0.109415,0,0.654611,1,0.152561,0.791733,0.453027,7.42848,0.400294,0.000354152,1,2
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,128,124,0.0241217,0.0232188,0.263408,0.299564,0.369826,0.00631161,0.991685,0.158762,2.87063,0.183956,0.0499607,0.67979,2.94318,11,3.46269,88,True,128,124,0.870968,1,0.101264,0,0.238095,1,0.398662,0.634825,0.28597,6.87808,0.29025,-0.0191811,1,3
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,128,124,0.00714126,0.0225664,0.132573,0.127122,0.0868576,0.00884019,0.770287,0.0217397,5.2859,0,0,0,0,0,0,0,True,128,124,0.104839,0.983871,0.0342969,0,1,1,0.0502982,0.375587,0.395371,7.18097,0.436097,0.000755451,1,2
or-qwen3-8b__W4096__T0p3__surreal__s3,surreal,or-qwen3-8b,0.3,3,4096,128,124,0.00232558,0.0106225,0.196458,0.20243,0.419086,0.0226482,0.922442,0.0210922,5.49128,2.10734e-08,0.0013113,0.9,3,4,5,3,True,128,124,0.935484,1,0.0172884,0,1,1,0.118921,0.123762,0.436054,7.40629,0.414841,0.00156902,1,3
or-qwen3-8b__W4096__T0p3__war__s1,war,or-qwen3-8b,0.3,1,4096,128,124,0.0823463,0.0224524,0.630308,0.615489,0.0547547,0.0197361,0.210958,0.218829,4.14677,0.329521,0.0499607,0.351706,2.48148,9,2.04688,54,True,128,124,0.975806,0.967742,0.127575,0,0.524929,0.961606,0.29633,0.382629,0.313322,7.1246,0.334968,-0.00115553,1,3
or-qwen3-8b__W4096__T0p3__war__s2,war,or-qwen3-8b,0.3,2,4096,127,123,0.0527573,0.0471697,0.512564,0.549191,0.400291,0.0330358,0.840764,0.295272,13.1313,0.20478,0.04998,0.797333,4.09589,12,5.18391,73,True,127,123,0.552846,0.97561,0.108762,0,0.29902,1,0.103708,0.308594,0.437699,7.27996,0.44459,-0.00644946,1,3
or-qwen3-8b__W4096__T0p3__war__s3,war,or-qwen3-8b,0.3,3,4096,128,124,0.000330886,0.0026274,0.285704,0.285482,0.141624,0.0122206,0.823482,0.00136636,1.9047,0,0,0,0,0,0,0,True,128,124,0.00806452,1,0.00186726,0,1,1,0.0186339,0.0930576,0.504164,7.58651,0.480889,0.000321896,1,2
or-qwen3-8b__W4096__T1__biology__s1,biology,or-qwen3-8b,1,1,4096,128,124,0.0396631,0.0376445,0.262661,0.279339,0.271009,0.018736,0.879045,0.174277,4.99149,0.183096,0.0499607,0.713911,3.02222,8,3.55932,90,True,128,124,0.169355,0.975806,0.288018,0,0.326643,0.97234,0.0655091,0.216216,0.507824,7.38774,0.398962,-0.0105117,1,2
or-qwen3-8b__W4096__T1__biology__s2,biology,or-qwen3-8b,1,2,4096,128,124,0.0461541,0.0231487,0.51211,0.628249,0.38615,0.014072,0.963176,0.310043,2.42859,0.292419,0.0499607,0.661417,2.96471,10,3.71751,85,False,128,124,0.475806,0.895161,0.551086,0,0.00954033,1,0.0960028,0.645008,0.464074,7.51041,0.467575,0.0141084,0,0
or-qwen3-8b__W4096__T1__biology__s3,biology,or-qwen3-8b,1,3,4096,128,124,0.0263,0.0409812,0.204663,0.192501,0.201403,0.00710972,0.965367,0.110504,5.10208,0.153316,0.0498295,0.665789,2.90805,7,3.70286,87,True,128,124,0.129032,0.959677,0.114098,0,0.798765,1,0.0661035,0.277545,0.468516,7.50757,0.429476,-0.00237816,1,2
or-qwen3-8b__W4096__T1__finance__s1,finance,or-qwen3-8b,1,1,4096,128,124,0.0336167,0.0301604,0.522669,0.577103,0.534797,0.0184308,0.966938,0.346399,17.9774,0.159543,0.0499607,0.614173,2.81928,7,3.46629,83,True,128,124,0.733871,0.935484,0.268188,0.00852878,0.451614,0.976789,0.0901208,0.289941,0.395675,7.14279,0.42266,-0.0365779,1,3
or-qwen3-8b__W4096__T1__finance__s2,finance,or-qwen3-8b,1,2,4096,127,123,0.0773661,0.0438512,0.5965,0.654782,0.264408,0.0175889,0.890433,0.320243,7.14949,0.321246,0.04998,0.757333,3.83784,15,4.68345,74,True,127,123,0.0731707,0.878049,0.59899,0,0.0166402,1,0.0469543,0.255887,0.453926,7.4997,0.446817,-0.00248672,1,2
or-qwen3-8b__W4096__T1__finance__s3,finance,or-qwen3-8b,1,3,4096,127,123,0.0764066,0.0395803,0.729233,0.763272,0.440171,0.0160945,0.964157,0.557659,22.5349,0.329464,0.04998,0.744,3.72,14,4.78832,75,True,127,123,0.788618,0.731707,0.640498,0.00232019,0.0597916,0.803774,0.171477,0.492268,0.350103,7.21825,0.396457,-0.0197177,1,3
